Year,State,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Gallons of ethanol derived from time-varying ABV
1973,West Virginia,2395195,1380235,17354,0.0,1139087,1027,0.0,
1973,Wisconsin,11740680,3368656,34853,2.0,2731201,2987,2.0,
1973,Wyoming,783580,263037,29790,3.0,212202,6926,3.0,
1973,Northeast Region,106284005,37929957,28021,,31531963,3707,,
1973,Midwest Region,107358995,43190221,24857,,35185328,512,,
1973,South Region,116191625,50346686,23078,,41021081,8325,,
1973,West Region,84761795,27993435,30279,,22884730,7039,,
1973,United States,414596420,159460299,26000,,130623102,1740,,
1974,Alabama,4837645,2722165,17771,0.0,2203242,1957,0.0,
1974,Alaska,934185,242226,38567,1.0,189349,9337,1.0,
1974,Arizona,4906455,1661070,29538,4.0,1346449,6440,3.0,
1974,Arkansas,2601460,1593565,16325,0.0,1312032,9828,0.0,
1974,California,53638805,16289170,32929,2.0,13443143,9900,2.0,
1974,Colorado,6062085,1925226,31488,2.0,1557068,8933,2.0,
1974,Connecticut,6474525,2359815,27437,5.0,1955756,3105,6.0,
1974,Delaware,1302125,439316,29640,3.0,353486,6837,3.0,
1974,District of Columbia,3407620,575413,59220,1.0,481317,798,1.0,
1974,Florida,20471215,6536565,31318,2.0,5499250,7225,3.0,
1974,Georgia,8099700,3714707,21804,8.0,3006761,6938,8.0,
1974,Hawaii,1900150,652787,29108,4.0,525898,6132,4.0,
1974,Idaho,1426220,597470,23871,7.0,479151,9766,7.0,
1974,Illinois,24928030,8573143,29077,4.0,7050138,5358,4.0,
1974,Indiana,7455610,4028031,18509,9.0,3275460,2762,9.0,
1974,Iowa,4581000,2185922,20957,8.0,1792828,5552,8.0,
1974,Kansas,3366290,1752986,19203,9.0,1433261,3487,9.0,
1974,Kentucky,4884865,2581118,18925,9.0,2101593,3244,9.0,
1974,Louisiana,6808640,2804007,24282,6.0,2237342,432,6.0,
1974,Maine,2124655,801366,26513,6.0,656987,2339,6.0,
1974,Maryland,9639375,3112934,30966,3.0,2539090,7964,2.0,
1974,Massachusetts,13829145,4456961,31028,3.0,3675730,7623,3.0,
1974,Michigan,18611565,6800302,27369,5.0,5479392,3966,5.0,
1974,Minnesota,8077195,2935578,27515,5.0,2376431,3989,5.0,
1974,Mississippi,3311245,1744369,18982,9.0,1387490,3865,9.0,
1974,Missouri,8345800,3685935,22642,7.0,3032695,7519,8.0,
1974,Montana,1644640,555929,29584,3.0,448928,6635,3.0,
1974,Nebraska,2985670,1173527,25442,6.0,960116,1097,6.0,
1974,Nevada,2790805,450747,61915,1.0,373586,4703,1.0,
1974,New Hampshire,3280215,614454,53384,1.0,507358,4653,1.0,
1974,New Jersey,15942895,5622275,28357,4.0,4684121,4036,5.0,
1974,New Mexico,2310160,820792,28145,5.0,646789,5717,4.0,
1974,New York,40681665,13976301,29108,4.0,11685889,4813,4.0,
1974,North Carolina,8197210,4151752,19744,8.0,3368342,4336,8.0,
1974,North Dakota,1301180,481433,27027,6.0,385155,3783,5.0,
1974,Ohio,17846930,8156610,21880,8.0,6649910,6838,8.0,
1974,Oklahoma,3888985,2104617,18478,0.0,1732548,2447,0.0,
1974,Oregon,4740815,1759354,26946,6.0,1455360,2575,6.0,
1974,Pennsylvania,21392155,9228656,23180,7.0,7652903,7953,7.0,
1974,Rhode Island,2223500,737901,30133,3.0,610748,6406,4.0,
1974,South Carolina,4854535,2119503,22904,7.0,1689720,8730,7.0,
1974,South Dakota,1154095,515175,22402,8.0,413078,7939,7.0,
1974,Tennessee,5936380,3211290,18486,9.0,2640128,2485,9.0,
1974,Texas,22503360,9153149,24585,6.0,7415341,347,6.0,
1974,Utah,1347410,851900,15817,0.0,663976,293,0.0,
1974,Vermont,1303860,355041,36724,1.0,288228,5237,1.0,
1974,Virginia,8668475,3781164,22925,7.0,3073533,8204,7.0,
1974,Washington,7642555,2708713,28215,5.0,2225333,4343,5.0,
1974,West Virginia,2459685,1395011,17632,0.0,1153853,1317,0.0,
1974,Wisconsin,11670345,3419511,34129,2.0,2772874,2088,2.0,
1974,Wyoming,877290,273234,32108,2.0,220927,9709,2.0,
1974,Northeast Region,107252615,38152770,28111,,31717720,3815,,
1974,Midwest Region,110323710,43708153,25241,,35621338,971,,
1974,South Region,121872520,51740645,23555,,42195068,8883,,
1974,West Region,90221575,28788618,31339,,23575957,8268,,
1974,United States,429670420,162390186,26459,,133110083,2279,,
1975,Alabama,5152790,2783296,18513,0.0,2257012,2830,0.0,
1975,Alaska,1110555,269759,41168,1.0,211703,2458,1.0,
1975,Arizona,5052665,1722578,29332,4.0,1399449,6105,4.0,
1975,Arkansas,2644540,1646242,16064,0.0,1356467,9496,0.0,
1975,California,54842490,16715501,32809,2.0,13814690,9699,2.0,
1975,Colorado,6314490,1978187,31921,2.0,1603931,9369,2.0,
1975,Connecticut,6503425,2391366,27195,6.0,1982736,2800,6.0,
1975,Delaware,1317485,448483,29376,4.0,360985,6497,4.0,
1975,District of Columbia,3360490,573443,58602,1.0,479496,84,1.0,
1975,Florida,20849140,6766780,30811,3.0,5701587,6567,3.0,
1975,Georgia,8468140,3794139,22319,8.0,3077055,7520,8.0,
1975,Hawaii,2058190,673023,30581,3.0,544299,7814,3.0,
1975,Idaho,1552360,618350,25105,6.0,497310,1215,6.0,
1975,Illinois,25597410,8672569,29515,4.0,7130483,5899,4.0,
1975,Indiana,7814830,4064693,19226,9.0,3309502,3613,9.0,
1975,Iowa,4723645,2215749,21319,8.0,1817197,5994,8.0,
1975,Kansas,3473300,1775300,19565,9.0,1453944,3889,9.0,
