Year,State,Type of beverage,Gallons of beverage,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Type of data source,Time-varying alcohol by volume (ABV),Gallons of ethanol derived from time-varying ABV
1970,Rhode Island,Spirits,1867000,840150,716000,11734,4,592000,4192,4,N/A,N/A,N/A
1970,Rhode Island,Wine,1688000,270080,716000,3772,2,592000,4562,2,N/A,N/A,N/A
1970,Rhode Island,Beer,20360000,916200,716000,12796,3,592000,5476,3,N/A,N/A,N/A
1970,Rhode Island,All beverages,N/A,2026430,716000,28302,3,592000,4230,3,N/A,N/A,N/A
1970,South Carolina,Spirits,4484000,2017800,1859000,10854,5,1467000,3755,5,N/A,N/A,N/A
1970,South Carolina,Wine,1802000,288320,1859000,1551,7,1467000,1965,6,N/A,N/A,N/A
1970,South Carolina,Beer,32897000,1480365,1859000,7963,9,1467000,0091,9,N/A,N/A,N/A
1970,South Carolina,All beverages,N/A,3786485,1859000,20368,8,1467000,5811,7,N/A,N/A,N/A
1970,South Dakota,Spirits,972000,437400,484000,9037,7,387000,1302,7,N/A,N/A,N/A
1970,South Dakota,Wine,402000,64320,484000,1329,8,387000,1662,7,N/A,N/A,N/A
1970,South Dakota,Beer,9993000,449685,484000,9291,8,387000,1620,8,N/A,N/A,N/A
1970,South Dakota,All beverages,N/A,951405,484000,19657,8,387000,4584,8,N/A,N/A,N/A
1970,Tennessee,Spirits,3766000,1694700,2906000,5832,0,2378000,7127,0,N/A,N/A,N/A
1970,Tennessee,Wine,1160000,185600,2906000,639,0,2378000,780,0,N/A,N/A,N/A
1970,Tennessee,Beer,56240000,2530800,2906000,8709,8,2378000,0643,8,N/A,N/A,N/A
1970,Tennessee,All beverages,N/A,4411100,2906000,15179,0,2378000,8550,0,N/A,N/A,N/A
1970,Texas,Spirits,13282000,5976900,8100000,7379,9,6567000,9101,9,N/A,N/A,N/A
1970,Texas,Wine,8770000,1403200,8100000,1732,6,6567000,2137,6,N/A,N/A,N/A
1970,Texas,Beer,236125000,10625625,8100000,13118,2,6567000,6180,2,N/A,N/A,N/A
1970,Texas,All beverages,N/A,18005725,8100000,22229,7,6567000,7418,7,N/A,N/A,N/A
1970,Utah,Spirits,927000,417150,731000,5707,0,570000,7318,0,N/A,N/A,N/A
1970,Utah,Wine,559000,89440,731000,1224,8,570000,1569,8,N/A,N/A,N/A
1970,Utah,Beer,12215000,549675,731000,7519,0,570000,9643,0,N/A,N/A,N/A
1970,Utah,All beverages,N/A,1056265,731000,14450,0,570000,8531,0,N/A,N/A,N/A
1970,Vermont,Spirits,1240000,558000,322000,17329,2,261000,1379,1,N/A,N/A,N/A
1970,Vermont,Wine,778000,124480,322000,3866,2,261000,4769,2,N/A,N/A,N/A
1970,Vermont,Beer,9906000,445770,322000,13844,2,261000,7079,1,N/A,N/A,N/A
1970,Vermont,All beverages,N/A,1128250,322000,35039,1,261000,3228,1,N/A,N/A,N/A
1970,Virginia,Spirits,7717000,3472650,3418000,10160,6,2790000,2447,6,N/A,N/A,N/A
1970,Virginia,Wine,4373000,699680,3418000,2047,5,2790000,2508,5,N/A,N/A,N/A
1970,Virginia,Beer,84553000,3804885,3418000,11132,7,2790000,3638,7,N/A,N/A,N/A
1970,Virginia,All beverages,N/A,7977215,3418000,23339,6,2790000,8592,6,N/A,N/A,N/A
1970,Washington,Spirits,6024000,2710800,2520000,10757,5,2057000,3178,5,N/A,N/A,N/A
